fuerza_fisica,control_chakra,misiones_exito,nombre_sujeto
23.24,11.27,47,Ninja_133
31.63,83.8,74,Ninja_069
23.32,29.67,45,Ninja_107
19.65,26.14,45,Ninja_129
29.99,24.52,56,Ninja_123
40.84,88.57,87,Ninja_063
88.23,18.27,13,Ninja_018
31.93,90.75,13,Ninja_074
95.65,94.02,99,Ninja_139
23.07,29.05,45,Ninja_092
28.96,97.39,37,Ninja_083
87.9,18.45,49,Ninja_006
91.01,34.58,36,Ninja_008
40.35,93.17,18,Ninja_066
14.93,18.32,33,Ninja_124
94.14,85.86,57,Ninja_142
27.43,86.21,52,Ninja_041
95.81,93.26,36,Ninja_138
88.37,32.13,23,Ninja_012
86.48,28.61,99,Ninja_021
35.35,22.68,36,Ninja_094
35.46,27.61,74,Ninja_102
40.9,94.1,27,Ninja_079
93.39,34.79,23,Ninja_019
24.57,31.71,92,Ninja_119
88.63,30.27,19,Ninja_030
37.53,86.87,23,Ninja_051
78.97,37.75,76,Ninja_035
32.09,29.29,25,Ninja_122
33.35,91.25,40,Ninja_075
91.32,30.56,13,Ninja_028
31.48,85.22,95,Ninja_060
35.79,91.51,58,Ninja_057
44.66,36.09,45,Ninja_131
89.07,18.44,78,Ninja_039
85.58,37.29,17,Ninja_023
31.42,20.98,61,Ninja_132
39.8,88.66,83,Ninja_042
20.41,24.71,90,Ninja_103
23.94,26.79,8,Ninja_086
6.44,38.67,19,Ninja_104
34.23,30.18,58,Ninja_127
93.91,88.65,20,Ninja_141
29.65,29.15,32,Ninja_130
23.06,22.45,4,Ninja_093
100.0,41.91,71,Ninja_037
32.67,95.45,58,Ninja_070
22.68,31.79,92,Ninja_112
77.09,36.88,10,Ninja_001
91.79,35.32,62,Ninja_013
29.2,18.77,31,Ninja_096
17.54,27.04,39,Ninja_105
89.69,30.0,96,Ninja_014
20.23,27.15,65,Ninja_087
27.14,34.82,38,Ninja_125
38.35,84.04,25,Ninja_047
21.95,16.03,44,Ninja_128
32.61,100.0,42,Ninja_056
26.54,27.63,21,Ninja_134
29.24,28.28,62,Ninja_120
25.62,18.45,71,Ninja_090
29.77,90.48,16,Ninja_043
38.68,97.7,76,Ninja_067
24.5,90.12,50,Ninja_078
95.66,93.02,47,Ninja_144
35.17,88.97,85,Ninja_049
92.25,92.29,85,Ninja_136
92.24,93.54,31,Ninja_148
43.55,92.48,17,Ninja_071
33.83,35.39,77,Ninja_118
85.12,28.06,28,Ninja_038
83.11,35.91,61,Ninja_033
95.19,26.25,49,Ninja_031
27.56,29.37,39,Ninja_115
28.58,82.44,5,Ninja_061
72.66,30.01,24,Ninja_003
37.44,92.78,69,Ninja_044
43.01,89.65,53,Ninja_050
29.51,19.94,54,Ninja_099
32.94,93.13,7,Ninja_072
34.01,86.59,9,Ninja_077
87.58,24.02,12,Ninja_016
29.44,90.79,29,Ninja_082
26.96,27.64,92,Ninja_109
96.53,94.44,49,Ninja_145
81.55,39.0,9,Ninja_036
17.75,23.2,67,Ninja_106
96.55,29.99,30,Ninja_022
35.53,91.93,16,Ninja_052
94.58,98.18,14,Ninja_146
95.63,92.69,15,Ninja_147
10.61,19.25,6,Ninja_126
39.62,94.44,66,Ninja_080
96.32,98.28,75,Ninja_137
89.19,28.63,99,Ninja_005
33.67,89.41,39,Ninja_054
79.67,28.94,89,Ninja_020
82.01,27.84,36,Ninja_000
28.55,29.84,61,Ninja_098
22.57,25.79,19,Ninja_097
93.33,96.14,19,Ninja_140
38.49,91.72,42,Ninja_076
28.49,15.0,20,Ninja_111
88.07,35.35,89,Ninja_026
36.17,84.95,39,Ninja_058
32.63,25.81,83,Ninja_085
18.86,31.02,86,Ninja_088
29.99,98.91,35,Ninja_062
83.75,26.91,84,Ninja_025
36.96,86.98,38,Ninja_084
75.76,24.67,96,Ninja_010
33.18,90.83,52,Ninja_048
21.83,6.21,58,Ninja_110
23.54,30.7,70,Ninja_095
82.39,20.78,55,Ninja_017
34.88,87.71,93,Ninja_064
76.39,35.47,12,Ninja_032
86.85,34.38,64,Ninja_004
29.66,27.68,13,Ninja_108
29.2,20.19,72,Ninja_113
80.49,34.64,59,Ninja_029
45.41,91.88,53,Ninja_055
94.38,24.47,82,Ninja_009
43.34,91.91,75,Ninja_065
86.86,19.02,62,Ninja_024
39.07,89.31,12,Ninja_046
39.51,89.42,9,Ninja_068
25.55,31.24,61,Ninja_114
29.42,85.22,5,Ninja_081
84.11,25.33,19,Ninja_034
33.66,94.11,99,Ninja_045
35.89,91.78,95,Ninja_040
20.96,25.65,39,Ninja_100
75.93,32.45,86,Ninja_027
28.18,92.08,14,Ninja_059
94.67,88.57,80,Ninja_135
14.88,37.63,17,Ninja_089
28.06,32.1,89,Ninja_091
18.98,26.23,63,Ninja_121
97.82,31.56,99,Ninja_007
91.76,94.43,1,Ninja_149
15.45,24.27,91,Ninja_101
84.65,42.2,37,Ninja_015
42.8,85.55,46,Ninja_073
87.91,21.71,24,Ninja_011
94.11,96.6,18,Ninja_143
87.11,29.31,73,Ninja_002
12.18,17.48,3,Ninja_117
24.64,88.79,57,Ninja_053
27.51,22.06,1,Ninja_116
